Gene_symbol,Allele_symbol,Reference,PMID
Arhgef1,Arhgef1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arhgef4,Arhgef4<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arhgef38,Arhgef38<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arhgef7,Arhgef7<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arid1b,Arid1b<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arid2,Arid2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arid4a,Arid4a<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arl4d,Arl4d<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Armc7,Armc7<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arpc1b,Arpc1b<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arpc2,Arpc2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arpc3,Arpc3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arpc4,Arpc4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arrdc5,Arrdc5<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arsg,Arsg<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Art4,Art4<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Arvcf,Arvcf<tm1a(EUCOMM)Wtsi/Hmgu>,Ingham et al. 2019,PMID: 30973865
Aspm,Aspm<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Aste1,Aste1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Asxl1,Asxl1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atad3a,Atad3a<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atg16l1,Atg16l1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atg16l2,Atg16l2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atp2b2,Atp2b2<Obl>,Ingham et al. 2019,PMID: 30973865
Atp5a1,Atp5a1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atp5e,Atp5e<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atp5f1,Atp5f1<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atp8b2,Atp8b2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atp11a,Atp11a<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atpaf2,Atpaf2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atpif1,Atpif1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atxn10,Atxn10<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Atxn3,Atxn3<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
B9d2,B9d2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bach2,Bach2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bai1,Bai1<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bai1,Bai1<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bap1,Bap1<tm1a(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
Barhl1,Barhl1<tm1(EGFP_CreERT2)Wtsi>,Ingham et al. 2019,PMID: 30973865
BC013712,BC013712<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
BC017643,BC017643<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
BC023829,BC023829<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
BC089597,BC089597<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Baz1b ,Baz1b<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bbx,Bbx<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bdh2,Bdh2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bhlhe40,Bhlhe40<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bivm,Bivm<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Blzf1,Blzf1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bnip2,Bnip2<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bpgm,Bpgm<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bpifb1,Bpifb1<tm1e(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Brd(tm1),ENSMUSG00000065436<(tm1)Brd>,Ingham et al. 2019,PMID: 30973865
Brd2,Brd2<em1Wtsi>,Ingham et al. 2019,PMID: 30973865
Brd7 ,Brd7<tm1aWtsi>,Ingham et al. 2019,PMID: 30973865
Brd8,Brd8<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Brdt,Brdt<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Brpf3,Brpf3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Btbd11,Btbd11<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cabp1,Cabp1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cadm1,Cadm1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cadm1 ,Cadm1<tm1.2Brd>,Ingham et al. 2019,PMID: 30973865
Calcoco2,Calcoco2<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Camkmt,Camkmt<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Camsap3,Camsap3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cand2,Cand2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Capn11,Capn11<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Caprin2,Caprin2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Capza2,Capza2<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Capzb,Capzb<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Card9,Card9<tm1a(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
Casc4,Casc4<tm2b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Casp12,Casp12<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Catip,Catip<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cbr2,Cbr2<tm1b(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
Cbx1,Cbx1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cbx5,Cbx5<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cbx6,Cbx6<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cbx7,Cbx7<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cc2d1b ,Cc2d1b<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cc2d2a,Cc2d2a<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc6,Ccdc6<em1Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc18,Ccdc18<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc24,Ccdc24<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc57,Ccdc57<tm3a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc69,Ccdc69<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc77,Ccdc77<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc104,Ccdc104<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc106,Ccdc106<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc122,Ccdc122<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc127,Ccdc127<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc134,Ccdc134<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc137,Ccdc137<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc159,Ccdc159<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccdc160,Ccdc160<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ccl22,Ccl22<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdc6,Cdc6<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdca8,Cdca8<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cd300lg,Cd300lg<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdh1,Cdh1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdh19,Cdh19<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdh23,Cdh23<v>,Ingham et al. 2019,PMID: 30973865
Cdk14,Cdk14<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdk5rap2,Cdk5rap2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdkal1,Cdkal1<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdkn2a,Cdkn2a<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cdkn2aipnl,Cdkn2aipnl<tm1b(KOMP)Wts>,Ingham et al. 2019,PMID: 30973865
Cds2,Cds2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Celf4,Celf4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cenpl,Cenpl<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cenpj,Cenpj<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cenpj,Cenpj<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cep250,Cep250<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cfap53,Cfap53<em1Wtsi>,Ingham et al. 2019,PMID: 30973865
Cfap61,Cfap61<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cgrrf1,Cgrrf1<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cfh,Cfh<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chd7,Chd7<Whi>,Ingham et al. 2019,PMID: 30973865
Chd7,Chd7<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chd9,Chd9<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chia,Chia<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chil4,Chil4<tm1b(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
Chka,Chka<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chmp6,Chmp6<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chst11,Chst11<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Chtop,Chtop<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cir1,Cir1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cish,Cish<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cit,Cit<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cldn16,Cldn16<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Clk1,Clk1<tm1a(EUCOMM)Wtsi/Ics>,Ingham et al. 2019,PMID: 30973865
Clpp,Clpp<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cluap1,Cluap1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Clust5N1 KO,(Cluster5N1)<(tm1)Brd>,Ingham et al. 2019,PMID: 30973865
Cmbl,Cmbl<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cmip,Cmip<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cmtm4,Cmtm4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cmtm5,Cmtm5<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cmtm6,Cmtm6<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cnbd1,Cnbd1<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cntfr,Cntfr<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cnot4,Cnot4<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cnot6,Cnot6<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cog2,Cog2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cog6,Cog6<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Col24a1,Col24a1<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Col4a3bp,Col4a3bp<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Commd10,Commd10<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Copg,Copg<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Coq9,Coq9<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Coro6,Coro6<tm1e(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cox6a1,Cox6a1<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cpsf3,Cpsf3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cpsf3,Cpsf3<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cpt2,Cpt2<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Crb2,Crb2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Creb3l1,Creb3l1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Creb3l1,Creb3l1<tm1e(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Crim1,Crim1<em1Wtsi>,Ingham et al. 2019,PMID: 30973865
Crlf3,Crlf3<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Crlf3,Crlf3<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Crls1,Crls1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Csmd1,Csmd1<em2Wtsi>,Ingham et al. 2019,PMID: 30973865
Csnk1g3,Csnk1g3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Csrp2bp,Csrp2bp<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ctr9,Ctr9<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ctcf,Ctcf<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ctnnal1 ,Ctnnal1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cttnbp2,Cttnbp2<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cutal,Cutal<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cxcr1,Cxcr1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cxcr2,Cxcr2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cxcr2,Cxcr2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyb561,Cyb561<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyfip1,Cyfip1<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyfip2,Cyfip2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyp2b13,Cyp2b13<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyp2r1,Cyp2r1<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyp3a11,Cyp3a11<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyp11a1,Cyp11a1<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Cyp20a1,Cyp20a1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
D630023F18Rik,D630023F18Rik<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
D6Wsu163e,D6Wsu163e<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
D7Ertd443e,D7Ertd443e<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
D930028M14Rik,D930028M14Rik<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
D11Wsu99e,D11Wsu99e<tm3a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Daam2,Daam2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dact3,Dact3<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Daf2,Daf2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dap,Dap<tm1a(KOMP)Mbp>,Ingham et al. 2019,PMID: 30973865
Dapk2,Dapk2<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dars2,Dars2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dbn1,Dbn1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dbn1,Dbn1<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcaf11,Dcaf11<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcbld2,Dcbld2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcdc2b,Dcdc2b<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcdc2c,Dcdc2c<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dclk1,Dclk1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dclk1,Dclk1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcn,Dcn<tm1d>,Ingham et al. 2019,PMID: 30973865
Dctn1,Dctn1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dctn5,Dctn5<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddah1,Ddah1<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddhd1,Ddhd1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddx27 ,Ddx27<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddx42,Ddx42<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddx51,Ddx51<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ddx55,Ddx55<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Def6,Def6<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Defb14,Defb14<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Defb22,Defb22<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Defb30,Defb30<tm2b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
Dennd1c,Dennd1c<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dennd1c,Dennd1c<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dennd4c,Dennd4c<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Denr,Denr<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dfna5,Dfna5<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhcr24,Dhcr24<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhodh,Dhodh<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhps,Dhps<tm2a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhrs2,Dhrs2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhx33,Dhx33<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dhx35,Dhx35<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dip2a,Dip2a<tm2b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dip2b,Dip2b<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dlg2,Dlg2<tm1Dsb>,Ingham et al. 2019,PMID: 30973865
Dlg2,Dlg2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dlg3,Dlg3<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dlg4,Dlg4<tm1Grnt>,Ingham et al. 2019,PMID: 30973865
Dlg4 (AVERTIN),Dlg4<tm1Grnt>,Ingham et al. 2019,PMID: 30973865
Dlg4 (AVERTIN),Dlg4<tm1e(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dmgdh,Dmgdh<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dmxl2,Dmxl2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnah17,Dnah17<tm1e(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnajc8,Dnajc8<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnase1l2,Dnase1l2<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnase1l2,Dnase1l2<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnmt3a,Dnmt3a<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dnpep,Dnpep<tm1e(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Donson,Donson<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dopey2,Dopey2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dot1l,Dot1l<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dph2,Dph2<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dph6,Dph6<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dppa1,Dppa1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dpm1,Dpm1<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dpy30,Dpy30<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dsc2,Dsc2<tm1e(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dscc1,Dscc1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dscc1,Dscc1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dsg1b,Dsg1b<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Duoxa2,Duoxa2<tm1b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp1,Dusp1<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp26,Dusp26<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp3,Dusp3<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp3,Dusp3<tm2b(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp4,Dusp4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dusp5,Dusp5<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dync1i2,Dync1i2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dynll1,Dynll1<tm1(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dynlrb1,Dynlrb1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Dynlrb2,Dynlrb2<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ears2,Ears2<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Eci3,Eci3<tm1b(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Edc4,Edc4<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Efna1,Efna1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Egfr,Egfr<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Ehd1,Ehd1<tm1a(EUCOMM)Wtsi>,Ingham et al. 2019,PMID: 30973865
Eif2b2,Eif2b2<tm2a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Eif2c1,Eif2c1<tm1a(KOMP)Wtsi>,Ingham et al. 2019,PMID: 30973865
Eif3h,Eif3h<tm1a(EUCOMM)Hmgu>,Ingham et al. 2019,PMID: 30973865
