Gene_symbol,Allele_symbol,Reference,PMID
Cir1,Cir1<tm3a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Clpp,Clpp<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cmbl,Cmbl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cmtm5,Cmtm5<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cnbd1,Cnbd1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cnot4,Cnot4<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cog6,Cog6<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Col24a1,Col24a1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Col4a3bp,Col4a3bp<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Coro6,Coro6<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cpgi81,Cpgi81<tm1.1(NCC)WCS>,Abeler-Dörner et al. 2020,PMID: 31844327
Cpsf3,Cpsf3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cpt2,Cpt2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Crim1,Crim1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Crlf3,Crlf3<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Crls1,Crls1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Csmd1,Csmd1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Csnk1g3,Csnk1g3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ctr9,Ctr9<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cttnbp2,Cttnbp2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cutal,Cutal<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cxcr1,Cxcr1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cxcr2,Cxcr2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cyp2b13,Cyp2b13<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cyp2r1,Cyp2r1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
D630023F18Rik,D630023F18Rik<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
D6Wsu163e,D6Wsu163e<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
D7Ertd443e,D7Ertd443e<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
D930028M14Rik,D930028M14Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dact3,Dact3<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Daf2,Daf2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dap,Dap<tm1a(KOMP)Mbp>,Abeler-Dörner et al. 2020,PMID: 31844327
Dapk2,Dapk2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dbn1,Dbn1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dcaf11,Dcaf11<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dcbld2,Dcbld2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dcdc2b,Dcdc2b<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dclk1,Dclk1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dcn,Dcn<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dctn4,Dctn4<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ddah1,Ddah1<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ddx42,Ddx42<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ddx51,Ddx51<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Defb14,Defb14<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Defb22,Defb22<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Defb30,Defb30<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Dennd1c,Dennd1c<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dennd4c,Dennd4c<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Denr,Denr<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dffb,Dffb<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dhodh,Dhodh<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dhps,Dhps<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dhx33,Dhx33<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dhx35,Dhx35<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dip2a,Dip2a<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dlg3,Dlg3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dlg4,Dlg4<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dlk1,Dlk1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dmgdh,Dmgdh<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dnah17,Dnah17<tm1e(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dnajc8,Dnajc8<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dnmt3a,Dnmt3a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dnpep,Dnpep<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dph6,Dph6<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dpm1,Dpm1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dpy30,Dpy30<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Duoxa2,Duoxa2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dusp5,Dusp5<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Dynlrb2,Dynlrb2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Eci3,Eci3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Eif3h,Eif3h<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Elac2,Elac2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ell2,Ell2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Enc1,Enc1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Enthd2,Enthd2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Erlin2,Erlin2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Evi5,Evi5<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Exoc3l2,Exoc3l2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Exosc9,Exosc9<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fads3,Fads3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam122c,Fam122c<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam160a1,Fam160a1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Fam163a,Fam163a<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
