request_id,pubmed_id,allele
3602,28600325,Hira<tm1a(EUCOMM)Wtsi>
6661,28621310,Gprc5b<tm1a(EUCOMM)Wtsi>
3968,28658614,Sec22b<tm1a(EUCOMM)Wtsi>
3720,28696225,Gpc6<tm2a(EUCOMM)Wtsi>
3212,28720716,Pik3cg<tm1a(EUCOMM)Wtsi>
5316,28739881,Traf6<tm2a(EUCOMM)Wtsi>
2706,28743718,Twf1<tm1a(EUCOMM)Wtsi>
6469,28778945,Mybphl<tm1b(KOMP)Wtsi>
5605,28791750,Hdac1<tm1a(EUCOMM)Wtsi>
5934,28811369,Tmem18<tm1a(EUCOMM)Wtsi>
6385,28846084,Ifnlr1<tm1a(EUCOMM)Wtsi>
5439,28878098,Prmt8<tm1a(EUCOMM)Wtsi>
4243,28899994,Capzb<tm1a(EUCOMM)Wtsi>
4907,28923496,Nadk2<tm1a(EUCOMM)Wtsi>
6163,28931573,Chd7<tm2a(EUCOMM)Wtsi>
3906,28959025,Mrap2<tm1a(EUCOMM)Wtsi>
5467,29031721,Cdkal1<tm2a(EUCOMM)Wtsi>
5778,29038422,Trim29<tm1a(EUCOMM)Wtsi>
5604,29054595,Naaa<tm1a(KOMP)Wtsi>
3875,29078390,Wdr47<tm1a(EUCOMM)Wtsi>
1898,29113991,Arpc4<tm1a(EUCOMM)Wtsi>
4424,29113992,Ruvbl1<tm1a(EUCOMM)Wtsi>
3452,29118104,Ric8b<tm1a(EUCOMM)Hmgu>
5704,29122955,Dnpep<tm1e(EUCOMM)Wtsi>
7195,29131158,Atp2a2<tm1a(EUCOMM)Hmgu>
4585,29150602,Plekhm2<tm1a(EUCOMM)Wtsi>
4240,29180567,Uhrf1<tm1a(EUCOMM)Wtsi>
6643,29180574,Setd5<tm1a(EUCOMM)Wtsi>
9210,29234270,Gjb6<tm1Kwi>
2821,29315990,Mtor<tm1a(EUCOMM)Wtsi>
4431,29317263,Ripk4<tm1a(EUCOMM)Wtsi>
2562,29384525,Mtor<tm1a(EUCOMM)Wtsi>
4813,29401485,Rbfox3<tm1a(EUCOMM)Hmgu>
7024,29414686,Gpr35<tm1b(EUCOMM)Hmgu>
6006,29423877,Nhlrc2<tm1a(KOMP)Wtsi>
4053,29466054,Rpgrip1l<tm1a(EUCOMM)Wtsi>
4234,29481883,Gprc5b<tm1a(EUCOMM)Wtsi>
2776,29513658,Brdt<tm1a(EUCOMM)Wtsi>
5083,29540666,Hdac3<tm1a(EUCOMM)Wtsi>
4969,29549365,Zfyve28<tm1a(EUCOMM)Wtsi>
5716,29554219,Prrt2<tm1a(KOMP)Wtsi>
5165,29588831,Tcf4<tm1a(EUCOMM)Wtsi>
5812,29618580,Gclc<tm1a(EUCOMM)Wtsi>
6901,29643507,Hbs1l<tm1a(KOMP)Wtsi>
4511,29751817,Tcf7l2<tm1a(EUCOMM)Wtsi>
5563,29799007,Atp11a<tm1a(KOMP)Wtsi>
5892,29809170,Tff1<tm1a(EUCOMM)Wtsi>
5806,29859945,Aldh1b1<tm2a(EUCOMM)Wtsi>
4185,29892051,Slc25a4<tm1a(EUCOMM)Wtsi>
2889,29908641,Prmt1<tm1a(EUCOMM)Wtsi>
5184,29910804,Il23r<tm2a(EUCOMM)Wtsi>
6219,29912316,Prrt2<tm1a(KOMP)Wtsi>
6908,30043283,Gpr35<tm1b(EUCOMM)Hmgu>
5646,30046110,Mad2l2<tm1a(EUCOMM)Wtsi>
7023,30054395,Prmt8<tm1a(EUCOMM)Wtsi>
6314,30061742,Fbxo47<tm1a(EUCOMM)Wtsi>
3944,30093633,Dlg2<tm1a(EUCOMM)Wtsi>
4202,30199819,Gjb2<tm1Ugds>
9210,30199819,Gjb6<tm1Kwi>
1821,30409431,Capn1<tm1Dgen>
